version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,England
info,gender,male
info,season,2022/23
info,date,2022/11/05
info,event,ICC Men's T20 World Cup
info,match_number,39
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,AU Rashid
info,umpire,PR Reiffel
info,umpire,P Wilson
info,reserve_umpire,CB Gaffaney
info,tv_umpire,Nitin Menon
info,match_referee,AJ Pycroft
info,winner,England
info,winner_wickets,4
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,PBB Rajapaksa
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,C Karunaratne
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,CAK Rajitha
info,player,Sri Lanka,CBRLS Kumara
info,player,England,JC Buttler
info,player,England,AD Hales
info,player,England,BA Stokes
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,MM Ali
info,player,England,SM Curran
info,player,England,CR Woakes
info,player,England,DJ Malan
info,player,England,MA Wood
info,player,England,AU Rashid
info,registry,people,AD Hales,92aeac25
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Stokes,e087956b
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Karunaratne,fb3e0d39
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CBRLS Kumara,4751caa3
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CR Woakes,4c5d73db
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DM de Silva,7d608e12
info,registry,people,HC Brook,4ae1755b
info,registry,people,JC Buttler,99b75528
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MM Ali,bb351c23
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,P Nissanka,8ee36b18
info,registry,people,P Wilson,68304a36
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PR Reiffel,c9354f29
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,SM Curran,e94915e6
ball,1,0.1,Sri Lanka,P Nissanka,BKG Mendis,BA Stokes,0,0,,,,,,"",""
ball,1,0.2,Sri Lanka,P Nissanka,BKG Mendis,BA Stokes,6,0,,,,,,"",""
ball,1,0.3,Sri Lanka,P Nissanka,BKG Mendis,BA Stokes,1,0,,,,,,"",""
ball,1,0.4,Sri Lanka,BKG Mendis,P Nissanka,BA Stokes,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,BKG Mendis,P Nissanka,BA Stokes,1,0,,,,,,"",""
ball,1,0.6,Sri Lanka,P Nissanka,BKG Mendis,BA Stokes,1,0,,,,,,"",""
ball,1,1.1,Sri Lanka,P Nissanka,BKG Mendis,CR Woakes,2,0,,,,,,"",""
ball,1,1.2,Sri Lanka,P Nissanka,BKG Mendis,CR Woakes,1,0,,,,,,"",""
ball,1,1.3,Sri Lanka,BKG Mendis,P Nissanka,CR Woakes,1,0,,,,,,"",""
ball,1,1.4,Sri Lanka,P Nissanka,BKG Mendis,CR Woakes,0,1,,,,1,,"",""
ball,1,1.5,Sri Lanka,BKG Mendis,P Nissanka,CR Woakes,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,BKG Mendis,P Nissanka,CR Woakes,1,0,,,,,,"",""
ball,1,2.1,Sri Lanka,BKG Mendis,P Nissanka,MA Wood,6,0,,,,,,"",""
ball,1,2.2,Sri Lanka,BKG Mendis,P Nissanka,MA Wood,0,0,,,,,,"",""
ball,1,2.3,Sri Lanka,BKG Mendis,P Nissanka,MA Wood,3,0,,,,,,"",""
ball,1,2.4,Sri Lanka,P Nissanka,BKG Mendis,MA Wood,1,0,,,,,,"",""
ball,1,2.5,Sri Lanka,BKG Mendis,P Nissanka,MA Wood,1,0,,,,,,"",""
ball,1,2.6,Sri Lanka,P Nissanka,BKG Mendis,MA Wood,6,0,,,,,,"",""
ball,1,3.1,Sri Lanka,BKG Mendis,P Nissanka,CR Woakes,1,0,,,,,,"",""
ball,1,3.2,Sri Lanka,P Nissanka,BKG Mendis,CR Woakes,1,0,,,,,,"",""
ball,1,3.3,Sri Lanka,BKG Mendis,P Nissanka,CR Woakes,0,0,,,,,,"",""
ball,1,3.4,Sri Lanka,BKG Mendis,P Nissanka,CR Woakes,4,0,,,,,,"",""
ball,1,3.5,Sri Lanka,BKG Mendis,P Nissanka,CR Woakes,0,0,,,,,,"",""
