version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,Bangladesh
info,gender,male
info,season,2022/23
info,date,2022/10/27
info,event,ICC Men's T20 World Cup
info,match_number,22
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,RR Rossouw
info,umpire,L Rusere
info,umpire,RJ Tucker
info,reserve_umpire,MA Gough
info,tv_umpire,Ahsan Raza
info,match_referee,BC Broad
info,winner,South Africa
info,winner_runs,104
info,player,South Africa,T Bavuma
info,player,South Africa,Q de Kock
info,player,South Africa,RR Rossouw
info,player,South Africa,T Stubbs
info,player,South Africa,AK Markram
info,player,South Africa,DA Miller
info,player,South Africa,WD Parnell
info,player,South Africa,KA Maharaj
info,player,South Africa,K Rabada
info,player,South Africa,A Nortje
info,player,South Africa,T Shamsi
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Mosaddek Hossain
info,player,Bangladesh,Nurul Hasan
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Hasan Mahmud
info,player,Bangladesh,Mustafizur Rahman
info,registry,people,A Nortje,acdc62f5
info,registry,people,AK Markram,6a26221c
info,registry,people,Afif Hossain,37138918
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,BC Broad,d6a7dd38
info,registry,people,DA Miller,d67d5f00
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,L Rusere,6a4734ae
info,registry,people,Liton Das,0404d43c
info,registry,people,MA Gough,76752ac8
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mosaddek Hossain,8919756f
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Nurul Hasan,d365d463
info,registry,people,Q de Kock,372455c4
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RR Rossouw,cad00a4d
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,T Shamsi,a03bba42
info,registry,people,T Stubbs,85b3fab2
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,WD Parnell,3a60e0b5
ball,1,0.1,South Africa,T Bavuma,Q de Kock,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.2,South Africa,T Bavuma,Q de Kock,Taskin Ahmed,2,0,,,,,,"",""
ball,1,0.3,South Africa,T Bavuma,Q de Kock,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.4,South Africa,T Bavuma,Q de Kock,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.5,South Africa,T Bavuma,Q de Kock,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.6,South Africa,T Bavuma,Q de Kock,Taskin Ahmed,0,0,,,,,,caught,T Bavuma
ball,1,1.1,South Africa,Q de Kock,RR Rossouw,Mehedi Hasan Miraz,0,0,,,,,,"",""
ball,1,1.2,South Africa,Q de Kock,RR Rossouw,Mehedi Hasan Miraz,1,0,,,,,,"",""
ball,1,1.3,South Africa,RR Rossouw,Q de Kock,Mehedi Hasan Miraz,1,0,,,,,,"",""
ball,1,1.4,South Africa,Q de Kock,RR Rossouw,Mehedi Hasan Miraz,4,0,,,,,,"",""
ball,1,1.5,South Africa,Q de Kock,RR Rossouw,Mehedi Hasan Miraz,1,0,,,,,,"",""
ball,1,1.6,South Africa,RR Rossouw,Q de Kock,Mehedi Hasan Miraz,1,0,,,,,,"",""
ball,1,2.1,South Africa,RR Rossouw,Q de Kock,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.2,South Africa,RR Rossouw,Q de Kock,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.3,South Africa,RR Rossouw,Q de Kock,Taskin Ahmed,4,0,,,,,,"",""
ball,1,2.4,South Africa,RR Rossouw,Q de Kock,Taskin Ahmed,1,0,,,,,,"",""
ball,1,2.5,South Africa,Q de Kock,RR Rossouw,Taskin Ahmed,4,1,,1,,,,"",""
ball,1,2.6,South Africa,Q de Kock,RR Rossouw,Taskin Ahmed,0,1,,1,,,,"",""
ball,1,2.7,South Africa,Q de Kock,RR Rossouw,Taskin Ahmed,6,0,,,,,,"",""
ball,1,2.8,South Africa,Q de Kock,RR Rossouw,Taskin Ahmed,4,0,,,,,,"",""
ball,1,3.1,South Africa,RR Rossouw,Q de Kock,Hasan Mahmud,0,0,,,,,,"",""
ball,1,3.2,South Africa,RR Rossouw,Q de Kock,Hasan Mahmud,6,0,,,,,,"",""
ball,1,3.3,South Africa,RR Rossouw,Q de Kock,Hasan Mahmud,4,0,,,,,,"",""
