version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Australia
info,gender,male
info,season,2022/23
info,date,2022/10/25
info,event,ICC Men's T20 World Cup
info,match_number,19
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,MP Stoinis
info,umpire,M Erasmus
info,umpire,RK Illingworth
info,reserve_umpire,Aleem Dar
info,tv_umpire,RA Kettleborough
info,match_referee,AJ Pycroft
info,winner,Australia
info,winner_wickets,7
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,PBB Rajapaksa
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,C Karunaratne
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,CBRLS Kumara
info,player,Sri Lanka,B Fernando
info,player,Australia,DA Warner
info,player,Australia,AJ Finch
info,player,Australia,MR Marsh
info,player,Australia,GJ Maxwell
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,MS Wade
info,player,Australia,AC Agar
info,player,Australia,MA Starc
info,player,Australia,PJ Cummins
info,player,Australia,JR Hazlewood
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Finch,b8d490fd
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Aleem Dar,f02778d1
info,registry,people,B Fernando,dabbd0ae
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Karunaratne,fb3e0d39
info,registry,people,CBRLS Kumara,4751caa3
info,registry,people,DA Warner,dcce6f09
info,registry,people,DM de Silva,7d608e12
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KIC Asalanka,732c038e
info,registry,people,KNA Bandara,585dda5d
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Starc,3fb19989
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Wade,afa7e784
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RK Illingworth,20672246
info,registry,people,TH David,f1f99156
ball,1,0.1,Sri Lanka,P Nissanka,BKG Mendis,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.2,Sri Lanka,P Nissanka,BKG Mendis,JR Hazlewood,1,0,,,,,,"",""
ball,1,0.3,Sri Lanka,BKG Mendis,P Nissanka,JR Hazlewood,1,0,,,,,,"",""
ball,1,0.4,Sri Lanka,P Nissanka,BKG Mendis,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,P Nissanka,BKG Mendis,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.6,Sri Lanka,P Nissanka,BKG Mendis,JR Hazlewood,0,0,,,,,,"",""
ball,1,1.1,Sri Lanka,BKG Mendis,P Nissanka,PJ Cummins,0,0,,,,,,"",""
ball,1,1.2,Sri Lanka,BKG Mendis,P Nissanka,PJ Cummins,4,0,,,,,,"",""
ball,1,1.3,Sri Lanka,BKG Mendis,P Nissanka,PJ Cummins,0,0,,,,,,"",""
ball,1,1.4,Sri Lanka,BKG Mendis,P Nissanka,PJ Cummins,0,0,,,,,,"",""
ball,1,1.5,Sri Lanka,BKG Mendis,P Nissanka,PJ Cummins,0,0,,,,,,caught,BKG Mendis
ball,1,1.6,Sri Lanka,DM de Silva,P Nissanka,PJ Cummins,0,0,,,,,,"",""
ball,1,2.1,Sri Lanka,P Nissanka,DM de Silva,JR Hazlewood,0,0,,,,,,"",""
ball,1,2.2,Sri Lanka,P Nissanka,DM de Silva,JR Hazlewood,4,0,,,,,,"",""
ball,1,2.3,Sri Lanka,P Nissanka,DM de Silva,JR Hazlewood,2,0,,,,,,"",""
ball,1,2.4,Sri Lanka,P Nissanka,DM de Silva,JR Hazlewood,1,0,,,,,,"",""
ball,1,2.5,Sri Lanka,DM de Silva,P Nissanka,JR Hazlewood,1,0,,,,,,"",""
ball,1,2.6,Sri Lanka,P Nissanka,DM de Silva,JR Hazlewood,0,1,1,,,,,"",""
ball,1,2.7,Sri Lanka,P Nissanka,DM de Silva,JR Hazlewood,0,1,1,,,,,"",""
ball,1,2.8,Sri Lanka,P Nissanka,DM de Silva,JR Hazlewood,0,0,,,,,,"",""
ball,1,3.1,Sri Lanka,DM de Silva,P Nissanka,PJ Cummins,1,0,,,,,,"",""
ball,1,3.2,Sri Lanka,P Nissanka,DM de Silva,PJ Cummins,0,0,,,,,,"",""
