version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,Ireland
info,gender,male
info,season,2022/23
info,date,2022/10/31
info,event,ICC Men's T20 World Cup
info,match_number,31
info,venue,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
info,city,Brisbane
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,AJ Finch
info,umpire,CB Gaffaney
info,umpire,Nitin Menon
info,reserve_umpire,Ahsan Raza
info,tv_umpire,HDPK Dharmasena
info,match_referee,BC Broad
info,winner,Australia
info,winner_runs,42
info,player,Australia,DA Warner
info,player,Australia,AJ Finch
info,player,Australia,MR Marsh
info,player,Australia,GJ Maxwell
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,MS Wade
info,player,Australia,MA Starc
info,player,Australia,PJ Cummins
info,player,Australia,A Zampa
info,player,Australia,JR Hazlewood
info,player,Ireland,PR Stirling
info,player,Ireland,A Balbirnie
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,F Hand
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,registry,people,A Balbirnie,6ef13460
info,registry,people,A Zampa,14f96089
info,registry,people,AJ Finch,b8d490fd
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DA Warner,dcce6f09
info,registry,people,F Hand,e3fe4b49
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Little,9061a703
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,L Tucker,3979b5e0
info,registry,people,MA Starc,3fb19989
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Adair,fc55ec67
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Wade,afa7e784
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PR Stirling,cf494ffe
info,registry,people,SPD Smith,30a45b23
info,registry,people,TH David,f1f99156
ball,1,0.1,Australia,DA Warner,AJ Finch,J Little,0,0,,,,,,"",""
ball,1,0.2,Australia,DA Warner,AJ Finch,J Little,1,0,,,,,,"",""
ball,1,0.3,Australia,AJ Finch,DA Warner,J Little,2,0,,,,,,"",""
ball,1,0.4,Australia,AJ Finch,DA Warner,J Little,0,0,,,,,,"",""
ball,1,0.5,Australia,AJ Finch,DA Warner,J Little,2,0,,,,,,"",""
ball,1,0.6,Australia,AJ Finch,DA Warner,J Little,0,0,,,,,,"",""
ball,1,1.1,Australia,DA Warner,AJ Finch,MR Adair,1,0,,,,,,"",""
ball,1,1.2,Australia,AJ Finch,DA Warner,MR Adair,0,0,,,,,,"",""
ball,1,1.3,Australia,AJ Finch,DA Warner,MR Adair,1,0,,,,,,"",""
ball,1,1.4,Australia,DA Warner,AJ Finch,MR Adair,0,0,,,,,,"",""
ball,1,1.5,Australia,DA Warner,AJ Finch,MR Adair,0,0,,,,,,"",""
ball,1,1.6,Australia,DA Warner,AJ Finch,MR Adair,1,0,,,,,,"",""
ball,1,2.1,Australia,DA Warner,AJ Finch,BJ McCarthy,0,0,,,,,,caught,DA Warner
ball,1,2.2,Australia,MR Marsh,AJ Finch,BJ McCarthy,4,0,,,,,,"",""
ball,1,2.3,Australia,MR Marsh,AJ Finch,BJ McCarthy,1,0,,,,,,"",""
ball,1,2.4,Australia,AJ Finch,MR Marsh,BJ McCarthy,0,0,,,,,,"",""
ball,1,2.5,Australia,AJ Finch,MR Marsh,BJ McCarthy,1,0,,,,,,"",""
ball,1,2.6,Australia,MR Marsh,AJ Finch,BJ McCarthy,0,0,,,,,,"",""
ball,1,3.1,Australia,AJ Finch,MR Marsh,J Little,1,0,,,,,,"",""
ball,1,3.2,Australia,MR Marsh,AJ Finch,J Little,0,0,,,,,,"",""
ball,1,3.3,Australia,MR Marsh,AJ Finch,J Little,1,0,,,,,,"",""
ball,1,3.4,Australia,AJ Finch,MR Marsh,J Little,0,0,,,,,,"",""
ball,1,3.5,Australia,AJ Finch,MR Marsh,J Little,4,0,,,,,,"",""
ball,1,3.6,Australia,AJ Finch,MR Marsh,J Little,0,0,,,,,,"",""
ball,1,4.1,Australia,MR Marsh,AJ Finch,MR Adair,0,0,,,,,,"",""
ball,1,4.2,Australia,MR Marsh,AJ Finch,MR Adair,1,0,,,,,,"",""
