version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Pakistan
info,gender,male
info,season,2022/23
info,date,2022/11/06
info,event,ICC Men's T20 World Cup
info,match_number,41
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Shaheen Shah Afridi
info,umpire,AT Holdstock
info,umpire,JS Wilson
info,reserve_umpire,MA Gough
info,tv_umpire,L Rusere
info,match_referee,BC Broad
info,winner,Pakistan
info,winner_wickets,5
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mosaddek Hossain
info,player,Bangladesh,Nurul Hasan
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Nasum Ahmed
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Ebadat Hossain
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Mohammad Haris
info,player,Pakistan,Shan Masood
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Mohammad Wasim
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Shaheen Shah Afridi
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Afif Hossain,37138918
info,registry,people,BC Broad,d6a7dd38
info,registry,people,Babar Azam,8a75e999
info,registry,people,Ebadat Hossain,cb5100f1
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,L Rusere,6a4734ae
info,registry,people,Liton Das,0404d43c
info,registry,people,MA Gough,76752ac8
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,Mosaddek Hossain,8919756f
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Naseem Shah,9c9af282
info,registry,people,Nasum Ahmed,37654b75
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Nurul Hasan,d365d463
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shan Masood,6843a783
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,Taskin Ahmed,ef18b66e
ball,1,0.1,Bangladesh,Nazmul Hossain Shanto,Liton Das,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,Nazmul Hossain Shanto,Liton Das,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.3,Bangladesh,Liton Das,Nazmul Hossain Shanto,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.4,Bangladesh,Nazmul Hossain Shanto,Liton Das,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,0.5,Bangladesh,Nazmul Hossain Shanto,Liton Das,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.6,Bangladesh,Nazmul Hossain Shanto,Liton Das,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,Liton Das,Nazmul Hossain Shanto,Naseem Shah,1,0,,,,,,"",""
ball,1,1.2,Bangladesh,Nazmul Hossain Shanto,Liton Das,Naseem Shah,1,0,,,,,,"",""
ball,1,1.3,Bangladesh,Liton Das,Nazmul Hossain Shanto,Naseem Shah,0,0,,,,,,"",""
ball,1,1.4,Bangladesh,Liton Das,Nazmul Hossain Shanto,Naseem Shah,1,0,,,,,,"",""
ball,1,1.5,Bangladesh,Nazmul Hossain Shanto,Liton Das,Naseem Shah,4,0,,,,,,"",""
ball,1,1.6,Bangladesh,Nazmul Hossain Shanto,Liton Das,Naseem Shah,0,0,,,,,,"",""
ball,1,2.1,Bangladesh,Liton Das,Nazmul Hossain Shanto,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.2,Bangladesh,Liton Das,Nazmul Hossain Shanto,Shaheen Shah Afridi,6,0,,,,,,"",""
ball,1,2.3,Bangladesh,Liton Das,Nazmul Hossain Shanto,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,2.4,Bangladesh,Nazmul Hossain Shanto,Liton Das,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,2.5,Bangladesh,Liton Das,Nazmul Hossain Shanto,Shaheen Shah Afridi,0,0,,,,,,caught,Liton Das
ball,1,2.6,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,3.1,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Mohammad Wasim,0,0,,,,,,"",""
ball,1,3.2,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Mohammad Wasim,0,0,,,,,,"",""
ball,1,3.3,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Mohammad Wasim,4,0,,,,,,"",""
ball,1,3.4,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Mohammad Wasim,2,0,,,,,,"",""
ball,1,3.5,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Mohammad Wasim,1,0,,,,,,"",""
ball,1,3.6,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,Mohammad Wasim,6,0,,,,,,"",""
ball,1,4.1,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Haris Rauf,2,0,,,,,,"",""
ball,1,4.2,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Haris Rauf,0,0,,,,,,"",""
ball,1,4.3,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Haris Rauf,0,0,,,,,,"",""
ball,1,4.4,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Haris Rauf,0,0,,,,,,"",""
ball,1,4.5,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Haris Rauf,0,1,,,1,,,"",""
ball,1,4.6,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,Haris Rauf,1,0,,,,,,"",""
ball,1,5.1,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,Naseem Shah,0,0,,,,,,"",""
ball,1,5.2,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,Naseem Shah,0,0,,,,,,"",""
ball,1,5.3,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,Naseem Shah,0,0,,,,,,"",""
ball,1,5.4,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,Naseem Shah,0,0,,,,,,"",""
ball,1,5.5,Bangladesh,Soumya Sarkar,Nazmul Hossain Shanto,Naseem Shah,1,0,,,,,,"",""
ball,1,5.6,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Naseem Shah,1,0,,,,,,"",""
ball,1,6.1,Bangladesh,Nazmul Hossain Shanto,Soumya Sarkar,Shadab Khan,2,0,,,,,,"",""
