version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Australia
info,gender,male
info,season,2022/23
info,date,2022/10/22
info,event,ICC Men's T20 World Cup
info,match_number,13
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,DP Conway
info,umpire,AT Holdstock
info,umpire,HDPK Dharmasena
info,reserve_umpire,RK Illingworth
info,tv_umpire,L Rusere
info,match_referee,BC Broad
info,winner,New Zealand
info,winner_runs,89
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,KS Williamson
info,player,New Zealand,GD Phillips
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MS Chapman
info,player,New Zealand,MJ Santner
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TG Southee
info,player,New Zealand,LH Ferguson
info,player,New Zealand,TA Boult
info,player,Australia,DA Warner
info,player,Australia,AJ Finch
info,player,Australia,MR Marsh
info,player,Australia,GJ Maxwell
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,MS Wade
info,player,Australia,PJ Cummins
info,player,Australia,MA Starc
info,player,Australia,A Zampa
info,player,Australia,JR Hazlewood
info,registry,people,A Zampa,14f96089
info,registry,people,AJ Finch,b8d490fd
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,BC Broad,d6a7dd38
info,registry,people,DA Warner,dcce6f09
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KS Williamson,d027ba9f
info,registry,people,L Rusere,6a4734ae
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MA Starc,3fb19989
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Chapman,7fa12533
info,registry,people,MS Wade,afa7e784
info,registry,people,PJ Cummins,ded9240e
info,registry,people,RK Illingworth,20672246
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
info,registry,people,TH David,f1f99156
ball,1,0.1,New Zealand,FH Allen,DP Conway,MA Starc,0,0,,,,,,"",""
ball,1,0.2,New Zealand,FH Allen,DP Conway,MA Starc,4,0,,,,,,"",""
ball,1,0.3,New Zealand,FH Allen,DP Conway,MA Starc,6,0,,,,,,"",""
ball,1,0.4,New Zealand,FH Allen,DP Conway,MA Starc,0,0,,,,,,"",""
ball,1,0.5,New Zealand,FH Allen,DP Conway,MA Starc,4,0,,,,,,"",""
ball,1,0.6,New Zealand,FH Allen,DP Conway,MA Starc,0,0,,,,,,"",""
ball,1,1.1,New Zealand,DP Conway,FH Allen,JR Hazlewood,4,0,,,,,,"",""
ball,1,1.2,New Zealand,DP Conway,FH Allen,JR Hazlewood,1,0,,,,,,"",""
ball,1,1.3,New Zealand,FH Allen,DP Conway,JR Hazlewood,1,0,,,,,,"",""
ball,1,1.4,New Zealand,DP Conway,FH Allen,JR Hazlewood,4,0,,,,,,"",""
ball,1,1.5,New Zealand,DP Conway,FH Allen,JR Hazlewood,1,0,,,,,,"",""
ball,1,1.6,New Zealand,FH Allen,DP Conway,JR Hazlewood,4,0,,,,,,"",""
ball,1,2.1,New Zealand,DP Conway,FH Allen,PJ Cummins,1,0,,,,,,"",""
ball,1,2.2,New Zealand,FH Allen,DP Conway,PJ Cummins,4,0,,,,,,"",""
ball,1,2.3,New Zealand,FH Allen,DP Conway,PJ Cummins,4,0,,,,,,"",""
ball,1,2.4,New Zealand,FH Allen,DP Conway,PJ Cummins,0,0,,,,,,"",""
ball,1,2.5,New Zealand,FH Allen,DP Conway,PJ Cummins,6,0,,,,,,"",""
ball,1,2.6,New Zealand,FH Allen,DP Conway,PJ Cummins,2,0,,,,,,"",""
ball,1,3.1,New Zealand,DP Conway,FH Allen,MP Stoinis,2,0,,,,,,"",""
ball,1,3.2,New Zealand,DP Conway,FH Allen,MP Stoinis,0,0,,,,,,"",""
ball,1,3.3,New Zealand,DP Conway,FH Allen,MP Stoinis,0,0,,,,,,"",""
ball,1,3.4,New Zealand,DP Conway,FH Allen,MP Stoinis,1,0,,,,,,"",""
ball,1,3.5,New Zealand,FH Allen,DP Conway,MP Stoinis,6,0,,,,,,"",""
ball,1,3.6,New Zealand,FH Allen,DP Conway,MP Stoinis,1,0,,,,,,"",""
