version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Bangladesh
info,gender,male
info,season,2022/23
info,date,2022/11/02
info,event,ICC Men's T20 World Cup
info,match_number,35
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,V Kohli
info,umpire,CM Brown
info,umpire,M Erasmus
info,reserve_umpire,AT Holdstock
info,tv_umpire,RK Illingworth
info,match_referee,DC Boon
info,winner,India
info,winner_runs,5
info,method,D/L
info,player,India,KL Rahul
info,player,India,RG Sharma
info,player,India,V Kohli
info,player,India,SA Yadav
info,player,India,HH Pandya
info,player,India,KD Karthik
info,player,India,AR Patel
info,player,India,R Ashwin
info,player,India,B Kumar
info,player,India,Mohammed Shami
info,player,India,Arshdeep Singh
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Yasir Ali Chowdhury
info,player,Bangladesh,Nurul Hasan
info,player,Bangladesh,Mosaddek Hossain
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Hasan Mahmud
info,player,Bangladesh,Shoriful Islam
info,player,Bangladesh,Mustafizur Rahman
info,registry,people,AR Patel,2e171977
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Afif Hossain,37138918
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,B Kumar,2e81a32d
info,registry,people,CM Brown,448f4f1c
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,KD Karthik,c03f1114
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Liton Das,0404d43c
info,registry,people,M Erasmus,15d3c895
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,Mosaddek Hossain,8919756f
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Nurul Hasan,d365d463
info,registry,people,R Ashwin,495d42a5
info,registry,people,RG Sharma,740742ef
info,registry,people,RK Illingworth,20672246
info,registry,people,SA Yadav,271f83cd
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shoriful Islam,bb34fd31
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,V Kohli,ba607b88
info,registry,people,Yasir Ali Chowdhury,5791b840
ball,1,0.1,India,KL Rahul,RG Sharma,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.2,India,KL Rahul,RG Sharma,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.3,India,KL Rahul,RG Sharma,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.4,India,KL Rahul,RG Sharma,Taskin Ahmed,0,0,,,,,,"",""
ball,1,0.5,India,KL Rahul,RG Sharma,Taskin Ahmed,1,0,,,,,,"",""
ball,1,0.6,India,RG Sharma,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
ball,1,1.1,India,KL Rahul,RG Sharma,Shoriful Islam,0,0,,,,,,"",""
ball,1,1.2,India,KL Rahul,RG Sharma,Shoriful Islam,0,1,,1,,,,"",""
ball,1,1.3,India,KL Rahul,RG Sharma,Shoriful Islam,0,0,,,,,,"",""
ball,1,1.4,India,KL Rahul,RG Sharma,Shoriful Islam,1,0,,,,,,"",""
ball,1,1.5,India,RG Sharma,KL Rahul,Shoriful Islam,1,0,,,,,,"",""
ball,1,1.6,India,KL Rahul,RG Sharma,Shoriful Islam,6,0,,,,,,"",""
ball,1,1.7,India,KL Rahul,RG Sharma,Shoriful Islam,0,0,,,,,,"",""
ball,1,2.1,India,RG Sharma,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.2,India,RG Sharma,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.3,India,RG Sharma,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.4,India,RG Sharma,KL Rahul,Taskin Ahmed,1,0,,,,,,"",""
ball,1,2.5,India,KL Rahul,RG Sharma,Taskin Ahmed,0,0,,,,,,"",""
ball,1,2.6,India,KL Rahul,RG Sharma,Taskin Ahmed,0,0,,,,,,"",""
ball,1,3.1,India,RG Sharma,KL Rahul,Hasan Mahmud,0,0,,,,,,"",""
ball,1,3.2,India,RG Sharma,KL Rahul,Hasan Mahmud,0,0,,,,,,caught,RG Sharma
ball,1,3.3,India,V Kohli,KL Rahul,Hasan Mahmud,1,0,,,,,,"",""
ball,1,3.4,India,KL Rahul,V Kohli,Hasan Mahmud,4,0,,,,,,"",""
ball,1,3.5,India,KL Rahul,V Kohli,Hasan Mahmud,6,0,,,,,,"",""
ball,1,3.6,India,KL Rahul,V Kohli,Hasan Mahmud,0,0,,,,,,"",""
ball,1,4.1,India,V Kohli,KL Rahul,Taskin Ahmed,4,0,,,,,,"",""
ball,1,4.2,India,V Kohli,KL Rahul,Taskin Ahmed,4,0,,,,,,"",""
ball,1,4.3,India,V Kohli,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
ball,1,4.4,India,V Kohli,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
ball,1,4.5,India,V Kohli,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
ball,1,4.6,India,V Kohli,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
ball,1,5.1,India,KL Rahul,V Kohli,Mustafizur Rahman,0,0,,,,,,"",""
ball,1,5.2,India,KL Rahul,V Kohli,Mustafizur Rahman,2,0,,,,,,"",""
ball,1,5.3,India,KL Rahul,V Kohli,Mustafizur Rahman,0,0,,,,,,"",""
ball,1,5.4,India,KL Rahul,V Kohli,Mustafizur Rahman,1,0,,,,,,"",""
ball,1,5.5,India,V Kohli,KL Rahul,Mustafizur Rahman,4,0,,,,,,"",""
ball,1,5.6,India,V Kohli,KL Rahul,Mustafizur Rahman,0,0,,,,,,"",""
ball,1,6.1,India,KL Rahul,V Kohli,Taskin Ahmed,1,0,,,,,,"",""
ball,1,6.2,India,V Kohli,KL Rahul,Taskin Ahmed,2,0,,,,,,"",""
ball,1,6.3,India,V Kohli,KL Rahul,Taskin Ahmed,0,0,,,,,,"",""
