version,1.7.0
info,balls_per_over,6
info,team,Afghanistan
info,team,England
info,gender,male
info,season,2022/23
info,date,2022/10/22
info,event,ICC Men's T20 World Cup
info,match_number,14
info,venue,Perth Stadium
info,city,Perth
info,toss_winner,England
info,toss_decision,field
info,player_of_match,SM Curran
info,umpire,Aleem Dar
info,umpire,CM Brown
info,reserve_umpire,P Wilson
info,tv_umpire,PR Reiffel
info,match_referee,AJ Pycroft
info,winner,England
info,winner_wickets,5
info,player,Afghanistan,Hazratullah
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Usman Ghani
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Fazalhaq Farooqi
info,player,England,JC Buttler
info,player,England,AD Hales
info,player,England,DJ Malan
info,player,England,BA Stokes
info,player,England,LS Livingstone
info,player,England,HC Brook
info,player,England,MM Ali
info,player,England,CR Woakes
info,player,England,SM Curran
info,player,England,AU Rashid
info,player,England,MA Wood
info,registry,people,AD Hales,92aeac25
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AU Rashid,249d60c9
info,registry,people,Aleem Dar,f02778d1
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,BA Stokes,e087956b
info,registry,people,CM Brown,448f4f1c
info,registry,people,CR Woakes,4c5d73db
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,HC Brook,4ae1755b
info,registry,people,Hazratullah,5ea51c25
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,JC Buttler,99b75528
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MM Ali,bb351c23
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,P Wilson,68304a36
info,registry,people,PR Reiffel,c9354f29
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SM Curran,e94915e6
info,registry,people,Usman Ghani,e3829b2a
ball,1,0.1,Afghanistan,Hazratullah,Rahmanullah Gurbaz,BA Stokes,0,0,,,,,,"",""
ball,1,0.2,Afghanistan,Hazratullah,Rahmanullah Gurbaz,BA Stokes,1,0,,,,,,"",""
ball,1,0.3,Afghanistan,Rahmanullah Gurbaz,Hazratullah,BA Stokes,0,0,,,,,,"",""
ball,1,0.4,Afghanistan,Rahmanullah Gurbaz,Hazratullah,BA Stokes,0,0,,,,,,"",""
ball,1,0.5,Afghanistan,Rahmanullah Gurbaz,Hazratullah,BA Stokes,0,0,,,,,,"",""
ball,1,0.6,Afghanistan,Rahmanullah Gurbaz,Hazratullah,BA Stokes,1,0,,,,,,"",""
ball,1,1.1,Afghanistan,Rahmanullah Gurbaz,Hazratullah,CR Woakes,0,0,,,,,,"",""
ball,1,1.2,Afghanistan,Rahmanullah Gurbaz,Hazratullah,CR Woakes,2,0,,,,,,"",""
ball,1,1.3,Afghanistan,Rahmanullah Gurbaz,Hazratullah,CR Woakes,6,0,,,,,,"",""
ball,1,1.4,Afghanistan,Rahmanullah Gurbaz,Hazratullah,CR Woakes,1,0,,,,,,"",""
ball,1,1.5,Afghanistan,Hazratullah,Rahmanullah Gurbaz,CR Woakes,0,0,,,,,,"",""
ball,1,1.6,Afghanistan,Hazratullah,Rahmanullah Gurbaz,CR Woakes,0,0,,,,,,"",""
ball,1,2.1,Afghanistan,Rahmanullah Gurbaz,Hazratullah,MA Wood,0,0,,,,,,caught,Rahmanullah Gurbaz
ball,1,2.2,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,0,0,,,,,,"",""
ball,1,2.3,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,0,0,,,,,,"",""
ball,1,2.4,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,4,0,,,,,,"",""
ball,1,2.5,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,0,0,,,,,,"",""
ball,1,2.6,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,0,0,,,,,,"",""
ball,1,3.1,Afghanistan,Hazratullah,Ibrahim Zadran,CR Woakes,0,0,,,,,,"",""
ball,1,3.2,Afghanistan,Hazratullah,Ibrahim Zadran,CR Woakes,0,0,,,,,,"",""
ball,1,3.3,Afghanistan,Hazratullah,Ibrahim Zadran,CR Woakes,0,0,,,,,,"",""
ball,1,3.4,Afghanistan,Hazratullah,Ibrahim Zadran,CR Woakes,0,0,,,,,,"",""
ball,1,3.5,Afghanistan,Hazratullah,Ibrahim Zadran,CR Woakes,4,0,,,,,,"",""
ball,1,3.6,Afghanistan,Hazratullah,Ibrahim Zadran,CR Woakes,1,0,,,,,,"",""
ball,1,4.1,Afghanistan,Hazratullah,Ibrahim Zadran,MA Wood,1,0,,,,,,"",""
ball,1,4.2,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,0,0,,,,,,"",""
ball,1,4.3,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,6,0,,,,,,"",""
ball,1,4.4,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,0,0,,,,,,"",""
ball,1,4.5,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,0,0,,,,,,"",""
ball,1,4.6,Afghanistan,Ibrahim Zadran,Hazratullah,MA Wood,0,0,,,,,,"",""
ball,1,5.1,Afghanistan,Hazratullah,Ibrahim Zadran,CR Woakes,0,0,,,,,,"",""
ball,1,5.2,Afghanistan,Hazratullah,Ibrahim Zadran,CR Woakes,0,0,,,,,,"",""
