version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,gender,male
info,season,2022/23
info,date,2022/11/09
info,event,ICC Men's T20 World Cup
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,Mohammad Rizwan
info,umpire,M Erasmus
info,umpire,RK Illingworth
info,reserve_umpire,MA Gough
info,tv_umpire,RA Kettleborough
info,match_referee,BC Broad
info,winner,Pakistan
info,winner_wickets,7
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,KS Williamson
info,player,New Zealand,GD Phillips
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Santner
info,player,New Zealand,TG Southee
info,player,New Zealand,IS Sodhi
info,player,New Zealand,LH Ferguson
info,player,New Zealand,TA Boult
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Mohammad Haris
info,player,Pakistan,Shan Masood
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Mohammad Wasim
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Shaheen Shah Afridi
info,registry,people,BC Broad,d6a7dd38
info,registry,people,Babar Azam,8a75e999
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,JDS Neesham,9219eff0
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,M Erasmus,15d3c895
info,registry,people,MA Gough,76752ac8
info,registry,people,MJ Santner,e4a0deae
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,Naseem Shah,9c9af282
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RK Illingworth,20672246
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Shan Masood,6843a783
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
ball,1,0.1,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,0.2,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.3,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,0,0,,,,,,lbw,FH Allen
ball,1,0.4,New Zealand,KS Williamson,DP Conway,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.5,New Zealand,DP Conway,KS Williamson,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.6,New Zealand,KS Williamson,DP Conway,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,1.1,New Zealand,DP Conway,KS Williamson,Naseem Shah,0,0,,,,,,"",""
ball,1,1.2,New Zealand,DP Conway,KS Williamson,Naseem Shah,0,0,,,,,,"",""
ball,1,1.3,New Zealand,DP Conway,KS Williamson,Naseem Shah,0,0,,,,,,"",""
ball,1,1.4,New Zealand,DP Conway,KS Williamson,Naseem Shah,4,0,,,,,,"",""
ball,1,1.5,New Zealand,DP Conway,KS Williamson,Naseem Shah,0,0,,,,,,"",""
ball,1,1.6,New Zealand,DP Conway,KS Williamson,Naseem Shah,4,0,,,,,,"",""
ball,1,2.1,New Zealand,KS Williamson,DP Conway,Shaheen Shah Afridi,3,0,,,,,,"",""
ball,1,2.2,New Zealand,DP Conway,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.3,New Zealand,DP Conway,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.4,New Zealand,DP Conway,KS Williamson,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,2.5,New Zealand,KS Williamson,DP Conway,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,2.6,New Zealand,DP Conway,KS Williamson,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,3.1,New Zealand,KS Williamson,DP Conway,Haris Rauf,2,0,,,,,,"",""
ball,1,3.2,New Zealand,KS Williamson,DP Conway,Haris Rauf,0,0,,,,,,"",""
ball,1,3.3,New Zealand,KS Williamson,DP Conway,Haris Rauf,1,0,,,,,,"",""
ball,1,3.4,New Zealand,DP Conway,KS Williamson,Haris Rauf,1,0,,,,,,"",""
ball,1,3.5,New Zealand,KS Williamson,DP Conway,Haris Rauf,0,0,,,,,,"",""
